age,sex,race,education,n
18,male,white,3rd Grade or less,209
18,male,white,3rd Grade or less,8
18,male,white,3rd Grade or less,8
18,male,white,3rd Grade or less,7
18,male,white,3rd Grade or less,9
18,male,white,Middle School - Grades 4 - 8,7
18,male,white,Middle School - Grades 4 - 8,25
18,male,white,Middle School - Grades 4 - 8,68
18,male,white,Middle School - Grades 4 - 8,95
18,male,white,Middle School - Grades 4 - 8,810
18,male,white,Completed some high school,2813
18,male,white,Completed some high school,20897
18,male,white,Completed some high school,42315
18,male,white,Completed some high school,3363
18,male,white,High school graduate,3127
18,male,white,High school graduate,420
18,male,white,"Completed some college, but no degree",742
18,male,white,"Completed some college, but no degree",357
18,male,white,Associate Degree,34
18,male,black/african american/negro,3rd Grade or less,61
18,male,black/african american/negro,3rd Grade or less,1
18,male,black/african american/negro,3rd Grade or less,1
18,male,black/african american/negro,3rd Grade or less,1
18,male,black/african american/negro,3rd Grade or less,1
18,male,black/african american/negro,Middle School - Grades 4 - 8,1
18,male,black/african american/negro,Middle School - Grades 4 - 8,4
18,male,black/african american/negro,Middle School - Grades 4 - 8,10
18,male,black/african american/negro,Middle School - Grades 4 - 8,45
18,male,black/african american/negro,Middle School - Grades 4 - 8,263
18,male,black/african american/negro,Completed some high school,1174
18,male,black/african american/negro,Completed some high school,3780
18,male,black/african american/negro,Completed some high school,6028
18,male,black/african american/negro,Completed some high school,537
18,male,black/african american/negro,High school graduate,676
18,male,black/african american/negro,High school graduate,98
18,male,black/african american/negro,"Completed some college, but no degree",193
18,male,black/african american/negro,"Completed some college, but no degree",89
18,male,black/african american/negro,Associate Degree,12
18,male,american indian or alaska native,3rd Grade or less,13
18,male,american indian or alaska native,3rd Grade or less,1
18,male,american indian or alaska native,Middle School - Grades 4 - 8,1
18,male,american indian or alaska native,Middle School - Grades 4 - 8,7
18,male,american indian or alaska native,Middle School - Grades 4 - 8,29
18,male,american indian or alaska native,Completed some high school,177
18,male,american indian or alaska native,Completed some high school,491
18,male,american indian or alaska native,Completed some high school,733
18,male,american indian or alaska native,Completed some high school,61
18,male,american indian or alaska native,High school graduate,66
18,male,american indian or alaska native,High school graduate,20
18,male,american indian or alaska native,"Completed some college, but no degree",13
18,male,american indian or alaska native,"Completed some college, but no degree",2
18,male,american indian or alaska native,Associate Degree,2
18,male,chinese,3rd Grade or less,3
18,male,chinese,Middle School - Grades 4 - 8,1
18,male,chinese,Middle School - Grades 4 - 8,1
18,male,chinese,Completed some high school,32
18,male,chinese,Completed some high school,171
18,male,chinese,Completed some high school,632
18,male,chinese,Completed some high school,150
18,male,chinese,High school graduate,112
18,male,chinese,High school graduate,1
18,male,chinese,"Completed some college, but no degree",52
18,male,chinese,"Completed some college, but no degree",18
18,male,chinese,Associate Degree,2
18,male,japanese,Completed some high school,3
18,male,japanese,Completed some high school,22
18,male,japanese,Completed some high school,68
18,male,japanese,Completed some high school,9
18,male,japanese,High school graduate,6
18,male,japanese,"Completed some college, but no degree",1
18,male,other asian or pacific islander,3rd Grade or less,17
18,male,other asian or pacific islander,3rd Grade or less,1
18,male,other asian or pacific islander,Middle School - Grades 4 - 8,1
18,male,other asian or pacific islander,Middle School - Grades 4 - 8,2
18,male,other asian or pacific islander,Middle School - Grades 4 - 8,1
18,male,other asian or pacific islander,Middle School - Grades 4 - 8,3
18,male,other asian or pacific islander,Middle School - Grades 4 - 8,24
18,male,other asian or pacific islander,Completed some high school,80
18,male,other asian or pacific islander,Completed some high school,665
18,male,other asian or pacific islander,Completed some high school,2220
18,male,other asian or pacific islander,Completed some high school,490
18,male,other asian or pacific islander,High school graduate,308
18,male,other asian or pacific islander,High school graduate,13
18,male,other asian or pacific islander,"Completed some college, but no degree",77
18,male,other asian or pacific islander,"Completed some college, but no degree",36
18,male,other asian or pacific islander,Associate Degree,4
18,male,"other race, nec",3rd Grade or less,31
18,male,"other race, nec",3rd Grade or less,1
18,male,"other race, nec",3rd Grade or less,1
18,male,"other race, nec",3rd Grade or less,1
18,male,"other race, nec",Middle School - Grades 4 - 8,14
18,male,"other race, nec",Middle School - Grades 4 - 8,5
