vote_2016,vote_2020,gender,race_ethnicity,household_income,education,state,age,vote_trump
Donald Trump,Donald Trump,Female,White,"$75,000 to $79,999",Associate Degree,WI,49,1
"Did not vote, but was eligible",I am not sure/don't know,Female,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",VA,39,0
Donald Trump,Donald Trump,Female,White,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",VA,46,1
Donald Trump,Donald Trump,Female,White,"$65,000 to $69,999",High school graduate,TX,75,1
Donald Trump,Donald Trump,Female,White,"Less than $14,999",High school graduate,WA,52,1
Was not eligible to vote,I would not vote,Female,White,"Less than $14,999",Other post high school vocational training,OH,44,0
Hillary Clinton,Joe Biden,Female,White,"$80,000 to $84,999","Completed some college, but no degree",MA,21,0
Hillary Clinton,Joe Biden,Female,"Black, or African American","Less than $14,999","Completed some college, but no degree",TX,38,0
Donald Trump,Donald Trump,Female,White,"$40,000 to $44,999","Completed some college, but no degree",CA,69,1
Donald Trump,Donald Trump,Female,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",NC,59,1
Donald Trump,I am not sure/don't know,Female,White,"$100,000 to $124,999",Masters degree,OH,51,0
Donald Trump,Donald Trump,Female,White,"$20,000 to $24,999","Completed some graduate, but no degree",MD,74,1
Hillary Clinton,Joe Biden,Female,White,"$60,000 to $64,999","Completed some college, but no degree",FL,55,0
Donald Trump,Donald Trump,Female,White,"$15,000 to $19,999",Other post high school vocational training,WV,62,1
Hillary Clinton,Joe Biden,Female,White,"$30,000 to $34,999",High school graduate,OH,42,0
Hillary Clinton,Joe Biden,Female,White,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",NY,81,0
Jill Stein,Joe Biden,Female,White,"$40,000 to $44,999","Completed some college, but no degree",KY,22,0
Donald Trump,Donald Trump,Female,White,NA,"College Degree (such as B.A., B.S.)",FL,73,1
Donald Trump,Donald Trump,Male,White,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",IN,71,1
Hillary Clinton,Joe Biden,Female,White,NA,High school graduate,MI,63,0
Jill Stein,Joe Biden,Male,White,"Less than $14,999","College Degree (such as B.A., B.S.)",WA,41,0
Donald Trump,Donald Trump,Female,White,"$40,000 to $44,999","Completed some graduate, but no degree",IA,71,1
"Did not vote, but was eligible",Joe Biden,Female,White,NA,"Completed some college, but no degree",CA,60,0
Donald Trump,Donald Trump,Female,White,"$75,000 to $79,999","College Degree (such as B.A., B.S.)",SC,55,1
Gary Johnson,Joe Biden,Male,White,"$85,000 to $89,999",Associate Degree,MN,68,0
Donald Trump,Donald Trump,Female,White,"$90,000 to $94,999","Completed some college, but no degree",GA,69,1
Donald Trump,Donald Trump,Female,White,"$75,000 to $79,999",Masters degree,PA,33,1
Donald Trump,Joe Biden,Female,White,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",NJ,70,0
Gary Johnson,Donald Trump,Female,White,"$30,000 to $34,999",Associate Degree,VA,32,1
Donald Trump,Donald Trump,Female,White,"$100,000 to $124,999","Completed some college, but no degree",SC,77,1
Donald Trump,Donald Trump,Female,White,"$100,000 to $124,999",Associate Degree,TX,65,1
Hillary Clinton,Joe Biden,Female,"Black, or African American","Less than $14,999","Completed some college, but no degree",FL,22,0
"Did not vote, but was eligible",I would not vote,Female,White,"$15,000 to $19,999",Middle School - Grades 4 - 8,NY,47,0
Hillary Clinton,Joe Biden,Female,White,"$65,000 to $69,999",Masters degree,AZ,63,0
Hillary Clinton,Joe Biden,Male,White,"$45,000 to $49,999",Masters degree,IL,79,0
Donald Trump,Donald Trump,Male,White,"$75,000 to $79,999","Completed some college, but no degree",OH,70,1
